from_stop_id,route_id,to_stop_id
135S,1,136S
136S,1,137S
137S,1,138S
138S,1,139S
139S,1,142S
133S,1,134S
134S,1,135S
127S,1,128S
128S,1,129S
129S,1,130S
130S,1,131S
131S,1,132S
132S,1,133S
123S,1,124S
124S,1,125S
125S,1,126S
126S,1,127S
117S,1,118S
118S,1,119S
119S,1,120S
120S,1,121S
121S,1,122S
122S,1,123S
115S,1,116S
116S,1,117S
112S,1,113S
113S,1,114S
114S,1,115S
109S,1,110S
110S,1,111S
111S,1,112S
106S,1,107S
107S,1,108S
108S,1,109S
103S,1,104S
104S,1,106S
101S,1,103S
107N,1,106N
106N,1,104N
104N,1,103N
103N,1,101N
112N,1,111N
111N,1,110N
110N,1,109N
109N,1,108N
108N,1,107N
116N,1,115N
115N,1,114N
114N,1,113N
113N,1,112N
120N,1,119N
119N,1,118N
118N,1,117N
117N,1,116N
125N,1,124N
124N,1,123N
123N,1,122N
122N,1,121N
121N,1,120N
128N,1,127N
127N,1,126N
126N,1,125N
137N,1,136N
136N,1,135N
135N,1,134N
134N,1,133N
133N,1,132N
132N,1,131N
131N,1,130N
130N,1,129N
129N,1,128N
142N,1,139N
139N,1,138N
138N,1,137N
216S,2,217S
217S,2,218S
218S,2,219S
219S,2,220S
220S,2,221S
221S,2,222S
222S,2,224S
224S,2,225S
225S,2,226S
226S,2,227S
227S,2,120S
120S,2,123S
123S,2,127S
127S,2,128S
128S,2,132S
132S,2,137S
137S,2,228S
228S,2,229S
229S,2,230S
230S,2,231S
231S,2,232S
232S,2,233S
233S,2,234S
234S,2,235S
235S,2,236S
236S,2,237S
237S,2,238S
238S,2,239S
239S,2,241S
241S,2,242S
242S,2,243S
243S,2,244S
244S,2,245S
245S,2,246S
246S,2,247S
123N,2,120N
120N,2,227N
227N,2,226N
226N,2,225N
225N,2,224N
224N,2,222N
222N,2,221N
221N,2,220N
220N,2,219N
219N,2,218N
218N,2,217N
217N,2,216N
216N,2,215N
215N,2,214N
214N,2,213N
213N,2,212N
212N,2,211N
211N,2,210N
210N,2,209N
209N,2,208N
208N,2,207N
207N,2,206N
206N,2,205N
205N,2,204N
204N,2,201N
201S,2,204S
204S,2,205S
205S,2,206S
206S,2,207S
207S,2,208S
208S,2,209S
209S,2,210S
210S,2,211S
211S,2,212S
212S,2,213S
213S,2,214S
214S,2,215S
215S,2,216S
247N,2,246N
246N,2,245N
245N,2,244N
244N,2,243N
243N,2,242N
242N,2,241N
241N,2,239N
239N,2,238N
238N,2,237N
237N,2,236N
236N,2,235N
235N,2,234N
234N,2,233N
233N,2,232N
232N,2,231N
231N,2,230N
230N,2,229N
229N,2,228N
228N,2,137N
137N,2,132N
132N,2,128N
128N,2,127N
127N,2,123N
239S,2,248S
248S,2,249S
249S,2,250S
250S,2,251S
251S,2,252S
252S,2,253S
253S,2,254S
254S,2,255S
255S,2,256S
256S,2,257S
257N,2,256N
256N,2,255N
255N,2,254N
254N,2,253N
253N,2,252N
252N,2,251N
251N,2,250N
250N,2,249N
249N,2,248N
248N,2,239N
256S,3,257S
251S,3,252S
252S,3,253S
253S,3,254S
254S,3,255S
255S,3,256S
238S,3,239S
239S,3,248S
248S,3,249S
249S,3,250S
250S,3,251S
234S,3,235S
235S,3,236S
236S,3,237S
237S,3,238S
231S,3,232S
232S,3,233S
233S,3,234S
229S,3,230S
230S,3,231S
137S,3,228S
228S,3,229S
127S,3,128S
128S,3,132S
132S,3,137S
123S,3,127S
302S,3,224S
224S,3,225S
225S,3,226S
226S,3,227S
227S,3,120S
120S,3,123S
301S,3,302S
224N,3,302N
302N,3,301N
120N,3,227N
227N,3,226N
226N,3,225N
225N,3,224N
128N,3,127N
127N,3,123N
123N,3,120N
137N,3,132N
132N,3,128N
230N,3,229N
229N,3,228N
228N,3,137N
234N,3,233N
233N,3,232N
232N,3,231N
231N,3,230N
238N,3,237N
237N,3,236N
236N,3,235N
235N,3,234N
249N,3,248N
248N,3,239N
239N,3,238N
252N,3,251N
251N,3,250N
250N,3,249N
256N,3,255N
255N,3,254N
254N,3,253N
253N,3,252N
257N,3,256N
235S,4,239S
239S,4,250S
423S,4,234S
234S,4,235S
419S,4,420S
420S,4,423S
640S,4,418S
418S,4,419S
635S,4,640S
631S,4,635S
629S,4,631S
626S,4,629S
621S,4,626S
415S,4,621S
414S,4,415S
411S,4,412S
412S,4,413S
413S,4,414S
409S,4,410S
410S,4,411S
406S,4,407S
407S,4,408S
408S,4,409S
402S,4,405S
405S,4,406S
401S,4,402S
415S,4,416S
416S,4,621S
408N,4,407N
407N,4,406N
406N,4,405N
405N,4,402N
402N,4,401N
410N,4,409N
409N,4,408N
414N,4,413N
413N,4,412N
412N,4,411N
411N,4,410N
415N,4,414N
621N,4,416N
416N,4,415N
626N,4,621N
631N,4,629N
629N,4,626N
635N,4,631N
420N,4,419N
419N,4,418N
418N,4,640N
640N,4,635N
234N,4,423N
423N,4,420N
235N,4,234N
413N,4,409N
250N,4,239N
239N,4,235N
621N,4,415N
501S,5,502S
502S,5,503S
503S,5,504S
504S,5,505S
505S,5,213S
213S,5,221S
221S,5,222S
222S,5,416S
416S,5,621S
621S,5,626S
626S,5,629S
629S,5,631S
631S,5,635S
635S,5,640S
640S,5,418S
418S,5,419S
419S,5,420S
420N,5,419N
419N,5,418N
418N,5,640N
640N,5,635N
635N,5,631N
631N,5,629N
629N,5,626N
626N,5,621N
621N,5,416N
416N,5,222N
222N,5,221N
221N,5,213N
213N,5,212N
212N,5,211N
211N,5,210N
210N,5,209N
209N,5,208N
208N,5,207N
207N,5,206N
206N,5,205N
205N,5,204N
204N,5,201N
221N,5,220N
220N,5,219N
219N,5,218N
218N,5,217N
217N,5,216N
216N,5,215N
215N,5,214N
214N,5,213N
213N,5,505N
505N,5,504N
504N,5,503N
503N,5,502N
502N,5,501N
420S,5,423S
423S,5,234S
234S,5,235S
235S,5,239S
239S,5,241S
241S,5,242S
242S,5,243S
243S,5,244S
244S,5,245S
245S,5,246S
246S,5,247S
247N,5,246N
246N,5,245N
245N,5,244N
244N,5,243N
243N,5,242N
242N,5,241N
241N,5,239N
239N,5,235N
235N,5,234N
234N,5,423N
423N,5,420N
213S,5,214S
214S,5,215S
215S,5,216S
216S,5,217S
217S,5,218S
218S,5,219S
219S,5,220S
220S,5,221S
247N,5X,246N
246N,5X,245N
245N,5X,244N
244N,5X,243N
243N,5X,242N
242N,5X,241N
241N,5X,239N
239N,5X,235N
235N,5X,234N
234N,5X,423N
423N,5X,420N
420N,5X,419N
419N,5X,418N
418N,5X,640N
640N,5X,635N
635N,5X,631N
631N,5X,629N
629N,5X,626N
626N,5X,621N
621N,5X,416N
416N,5X,222N
222N,5X,221N
221N,5X,213N
213N,5X,505N
505N,5X,504N
504N,5X,503N
503N,5X,502N
502N,5X,501N
239S,5,250S
250N,5,239N
208S,5,209S
209S,5,210S
210S,5,211S
211S,5,212S
212S,5,213S
204S,5,205S
205S,5,206S
206S,5,207S
207S,5,208S
633S,6X,634S
634S,6X,635S
635S,6X,636S
636S,6X,637S
637S,6X,638S
638S,6X,639S
639S,6X,640S
640N,6,639N
639N,6,638N
638N,6,637N
637N,6,636N
636N,6,635N
635N,6,634N
634N,6,633N
633N,6,632N
632N,6,631N
631N,6,630N
630N,6,629N
629N,6,628N
628N,6,627N
627N,6,626N
626N,6,625N
625N,6,624N
624N,6,623N
623N,6,622N
622N,6,621N
621N,6,619N
619N,6,618N
618N,6,617N
617N,6,616N
616N,6,615N
615N,6,614N
614N,6,613N
613N,6,612N
612N,6,611N
611N,6,610N
610N,6,609N
609N,6,608N
608S,6,609S
609S,6,610S
610S,6,611S
611S,6,612S
612S,6,613S
613S,6,614S
614S,6,615S
615S,6,616S
616S,6,617S
617S,6,618S
618S,6,619S
619S,6,621S
621S,6,622S
622S,6,623S
623S,6,624S
624S,6,625S
625S,6,626S
626S,6,627S
627S,6,628S
628S,6,629S
629S,6,630S
630S,6,631S
631S,6,632S
632S,6,633S
633S,6,634S
634S,6,635S
635S,6,636S
636S,6,637S
637S,6,638S
638S,6,639S
639S,6,640S
608N,6,607N
607N,6,606N
606N,6,604N
604N,6,603N
603N,6,602N
602N,6,601N
601S,6X,602S
602S,6X,603S
603S,6X,604S
604S,6X,606S
606S,6X,607S
607S,6X,608S
608S,6X,613S
613S,6X,619S
619S,6X,621S
621S,6X,622S
622S,6X,623S
623S,6X,624S
624S,6X,625S
625S,6X,626S
626S,6X,627S
627S,6X,628S
628S,6X,629S
629S,6X,630S
630S,6X,631S
631S,6X,632S
632S,6X,633S
640N,6X,639N
639N,6X,638N
638N,6X,637N
637N,6X,636N
636N,6X,635N
635N,6X,634N
634N,6X,633N
633N,6X,632N
632N,6X,631N
631N,6X,630N
630N,6X,629N
629N,6X,628N
628N,6X,627N
627N,6X,626N
626N,6X,625N
625N,6X,624N
624N,6X,623N
623N,6X,622N
622N,6X,621N
621N,6X,619N
619N,6X,613N
613N,6X,608N
608N,6X,607N
607N,6X,606N
606N,6X,604N
604N,6X,603N
603N,6X,602N
602N,6X,601N
601S,6,602S
602S,6,603S
603S,6,604S
604S,6,606S
606S,6,607S
607S,6,608S
608S,6X,609S
609S,6X,610S
610S,6X,611S
611S,6X,612S
612S,6X,613S
613N,6,608N
721S,7,723S
723S,7,724S
724S,7,725S
725S,7,726S
715S,7,716S
716S,7,718S
718S,7,719S
719S,7,720S
720S,7,721S
710S,7,711S
711S,7,712S
712S,7,713S
713S,7,714S
714S,7,715S
705S,7,706S
706S,7,707S
707S,7,708S
708S,7,709S
709S,7,710S
701S,7,702S
702S,7,705S
725S,7X,726S
723S,7X,724S
724S,7X,725S
719S,7X,720S
720S,7X,721S
721S,7X,723S
718S,7X,719S
712S,7X,718S
707S,7X,712S
702S,7X,707S
701S,7X,702S
702N,7,701N
706N,7,705N
705N,7,702N
710N,7,709N
709N,7,708N
708N,7,707N
707N,7,706N
711N,7,710N
712N,7,711N
718N,7,716N
716N,7,715N
715N,7,714N
714N,7,713N
713N,7,712N
720N,7,719N
719N,7,718N
721N,7,720N
724N,7,723N
723N,7,721N
725N,7,724N
726N,7,725N
726N,7X,725N
725N,7X,724N
724N,7X,723N
723N,7X,721N
721N,7X,720N
720N,7X,719N
719N,7X,718N
718N,7X,712N
712N,7X,707N
707N,7X,702N
702N,7X,701N
902S,GS,901S
901N,GS,902N
A15N,A,A12N
A12N,A,A09N
A09N,A,A07N
A07N,A,A06N
A06N,A,A05N
A05N,A,A03N
A03N,A,A02N
A02S,A,A03S
A03S,A,A05S
A05S,A,A06S
A06S,A,A07S
A07S,A,A09S
A09S,A,A12S
A12S,A,A15S
A15S,A,A24S
A24S,A,A27S
A27S,A,A28S
A28S,A,A31S
A31S,A,A32S
A32S,A,A34S
A34S,A,A36S
