from_stop_id,to_stop_id
135S,136S
136S,137S
137S,138S
138S,139S
139S,142S
133S,134S
134S,135S
127S,128S
128S,129S
129S,130S
130S,131S
131S,132S
132S,133S
123S,124S
124S,125S
125S,126S
126S,127S
117S,118S
118S,119S
119S,120S
120S,121S
121S,122S
122S,123S
115S,116S
116S,117S
112S,113S
113S,114S
114S,115S
109S,110S
110S,111S
111S,112S
106S,107S
107S,108S
108S,109S
103S,104S
104S,106S
101S,103S
107N,106N
106N,104N
104N,103N
103N,101N
112N,111N
111N,110N
110N,109N
109N,108N
108N,107N
116N,115N
115N,114N
114N,113N
113N,112N
120N,119N
119N,118N
118N,117N
117N,116N
125N,124N
124N,123N
123N,122N
122N,121N
121N,120N
128N,127N
127N,126N
126N,125N
137N,136N
136N,135N
135N,134N
134N,133N
133N,132N
132N,131N
131N,130N
130N,129N
129N,128N
142N,139N
139N,138N
138N,137N
216S,217S
217S,218S
218S,219S
219S,220S
220S,221S
221S,222S
222S,224S
224S,225S
225S,226S
226S,227S
227S,120S
137S,228S
228S,229S
229S,230S
230S,231S
231S,232S
232S,233S
233S,234S
234S,235S
235S,236S
236S,237S
237S,238S
238S,239S
239S,241S
241S,242S
242S,243S
243S,244S
244S,245S
245S,246S
246S,247S
120N,227N
227N,226N
226N,225N
225N,224N
224N,222N
222N,221N
221N,220N
220N,219N
219N,218N
218N,217N
217N,216N
216N,215N
215N,214N
214N,213N
213N,212N
212N,211N
211N,210N
210N,209N
209N,208N
208N,207N
207N,206N
206N,205N
205N,204N
204N,201N
201S,204S
204S,205S
205S,206S
206S,207S
207S,208S
208S,209S
209S,210S
210S,211S
211S,212S
212S,213S
213S,214S
214S,215S
215S,216S
247N,246N
246N,245N
245N,244N
244N,243N
243N,242N
242N,241N
241N,239N
239N,238N
238N,237N
237N,236N
236N,235N
235N,234N
234N,233N
233N,232N
232N,231N
231N,230N
230N,229N
229N,228N
228N,137N
239S,248S
248S,249S
249S,250S
250S,251S
251S,252S
252S,253S
253S,254S
254S,255S
255S,256S
256S,257S
257N,256N
256N,255N
255N,254N
254N,253N
253N,252N
252N,251N
251N,250N
250N,249N
249N,248N
248N,239N
302S,224S
301S,302S
224N,302N
302N,301N
423S,234S
419S,420S
420S,423S
640S,418S
418S,419S
414S,415S
411S,412S
412S,413S
413S,414S
409S,410S
410S,411S
406S,407S
407S,408S
408S,409S
402S,405S
405S,406S
401S,402S
415S,416S
416S,621S
408N,407N
407N,406N
406N,405N
405N,402N
402N,401N
410N,409N
409N,408N
414N,413N
413N,412N
412N,411N
411N,410N
415N,414N
621N,416N
416N,415N
420N,419N
419N,418N
418N,640N
234N,423N
423N,420N
501S,502S
502S,503S
503S,504S
504S,505S
505S,213S
222S,416S
416N,222N
213N,505N
505N,504N
504N,503N
503N,502N
502N,501N
633S,634S
634S,635S
635S,636S
636S,637S
637S,638S
638S,639S
639S,640S
640N,639N
639N,638N
638N,637N
637N,636N
636N,635N
635N,634N
634N,633N
633N,632N
632N,631N
631N,630N
630N,629N
629N,628N
628N,627N
627N,626N
626N,625N
625N,624N
624N,623N
623N,622N
622N,621N
621N,619N
619N,618N
618N,617N
617N,616N
616N,615N
615N,614N
614N,613N
613N,612N
612N,611N
611N,610N
610N,609N
609N,608N
608S,609S
609S,610S
610S,611S
611S,612S
612S,613S
613S,614S
614S,615S
615S,616S
616S,617S
617S,618S
618S,619S
619S,621S
621S,622S
622S,623S
623S,624S
624S,625S
625S,626S
626S,627S
627S,628S
628S,629S
629S,630S
630S,631S
631S,632S
632S,633S
608N,607N
607N,606N
606N,604N
604N,603N
603N,602N
602N,601N
601S,602S
602S,603S
603S,604S
604S,606S
606S,607S
607S,608S
721S,723S
723S,724S
724S,725S
725S,726S
715S,716S
716S,718S
718S,719S
719S,720S
720S,721S
710S,711S
711S,712S
712S,713S
713S,714S
714S,715S
705S,706S
706S,707S
707S,708S
708S,709S
709S,710S
701S,702S
702S,705S
702N,701N
706N,705N
705N,702N
710N,709N
709N,708N
708N,707N
707N,706N
711N,710N
712N,711N
718N,716N
716N,715N
715N,714N
714N,713N
713N,712N
720N,719N
719N,718N
721N,720N
724N,723N
723N,721N
725N,724N
726N,725N
902S,901S
901N,902N
A09N,A07N
A07N,A06N
A06N,A05N
A05N,A03N
A03N,A02N
A02S,A03S
A03S,A05S
A05S,A06S
A06S,A07S
A07S,A09S
A27S,A28S
A31S,A32S
A34S,A36S
A36S,A38S
A38S,A40S
A40S,A41S
A41S,A42S
A55S,A57S
A57S,A59S
A59S,A60S
A60S,A61S
A61S,A63S
A63S,A64S
A64S,A65S
A65N,A64N
A64N,A63N
A63N,A61N
A61N,A60N
A60N,A59N
A59N,A57N
A57N,A55N
A42N,A41N
A41N,A40N
A40N,A38N
A38N,A36N
A36N,A34N
A32N,A31N
A28N,A27N
A61S,H02S
H02S,H03S
H03S,H04S
H04S,H06S
H06S,H07S
H07S,H08S
H08S,H09S
H09S,H10S
H10S,H11S
H11N,H10N
H10N,H09N
H09N,H08N
H08N,H07N
H07N,H06N
H06N,H04N
H04N,H03N
H03N,H02N
H02N,H01N
H01N,A61N
A15N,A14N
A14N,A12N
H13N,H12N
H12N,H04N
A12S,A14S
A14S,A15S
H04S,H12S
H12S,H13S
H13S,H14S
H14S,H15S
D14S,D15S
D15S,D16S
D16S,D17S
D20S,D21S
D21S,D22S
D22S,R30S
R30S,D24S
D24S,D25S
D25S,D26S
D39S,D40S
D40N,D39N
D26N,D25N
D25N,D24N
D24N,R30N
R30N,D22N
D22N,D21N
D21N,D20N
D17N,D16N
D16N,D15N
D15N,D14N
D14N,A24N
A24N,A22N
A22N,A21N
A21N,A20N
A20N,A19N
A19N,A18N
A18N,A17N
A17N,A16N
A16N,A15N
A14N,D13N
D13S,A14S
A15S,A16S
A16S,A17S
A17S,A18S
A18S,A19S
A19S,A20S
A20S,A21S
A21S,A22S
A22S,A24S
A24S,D14S
D13N,D12N
D12N,D11N
D11N,D10N
D10N,D09N
D09N,D08N
D08N,D07N
D07N,D06N
D06N,D05N
D05N,D04N
D04N,D03N
D03S,D04S
D04S,D05S
D05S,D06S
D06S,D07S
D07S,D08S
D08S,D09S
D09S,D10S
D10S,D11S
D11S,D12S
D12S,D13S
A52S,A53S
A53S,A54S
A54S,A55S
A48S,A49S
A49S,A50S
A50S,A51S
A51S,A52S
A43S,A44S
A44S,A45S
A45S,A46S
A46S,A47S
A47S,A48S
A42S,A43S
A28S,A30S
A30S,A31S
A32S,A33S
A33S,A34S
A24S,A25S
A25S,A27S
A09S,A10S
A10S,A11S
A11S,A12S
A11N,A10N
A10N,A09N
A12N,A11N
