station_name,complex_id,ridership_2012,ridership_2013,ridership_2014,ridership_2015,ridership_2016,ridership_2017
Astoria-Ditmars Blvd,1,5233305,5405084,5416919,5407027,5429314,5031462
Astoria Blvd,2,3871213,3962838,3914637,3926062,3894399,3988480
30 Av,3,4622323,4776709,4808350,4745260,4694548,3437709
Broadway,4,4161120,4325297,4407347,4300632,4189306,4060805
36 Av,5,2412794,2462645,2439630,2394564,2343925,1677211
39 Av,6,930291,1012381,1104375,1072026,1016809,979103
5 Av-59 St,8,5941836,5927685,6155019,6017047,5929715,5367130
57 St-7 Av,9,8726980,8945751,9314649,9512090,9616547,11300097
49 St,10,8186576,8155010,8544694,8029988,8754627,8626669
28 St,13,3413315,3520209,3796977,4083143,4205109,4065263
23 St,14,6805210,6905704,7348879,7965410,8151328,7651650
8 St-New York University,16,5663358,5379647,5635598,5894747,6030544,5569352
Prince St,17,5508110,5209433,5311765,5386641,5314922,4990346
City Hall,20,2094122,1560414,1151646,1828806,1977733,2258254
Cortlandt St,21,2062289,1601732,1500040,2713532,4270036,6101278
Rector St,22,2053706,1524110,1116833,1896968,2038348,2213971
DeKalb Av,26,5222096,5223608,5288037,5373388,5640329,6551184
Union St,28,2148505,2058555,2065047,2073096,2024863,1935724
Prospect Av,30,1864725,1826064,1827271,1785990,1758711,961733
25 St,31,1198226,1218842,1274939,1221949,1188884,1373521
36 St,32,3772420,3826400,3970318,4138929,4235509,4543305
45 St,33,2255877,2251217,2323521,2321241,2228315,2390684
53 St,34,2357449,2387370,2405353,2374338,2334471,1187907
59 St,35,3848745,3968334,4094658,4158863,4169280,5326789
Bay Ridge Av,36,2522369,2525470,2597559,2623309,2622438,1282256
77 St,37,1600644,1645262,1711410,1723178,1743795,1980011
86 St,38,3515085,3662602,3753132,3747601,3752400,3516712
Bay Ridge-95 St,39,1809829,1830193,1858200,1865038,1853049,1755379
7 Av,41,2824839,2905400,2932926,2980366,2943272,3236816
Prospect Park,42,2892200,3190679,3312727,3327301,3272810,3421790
Parkside Av,43,1812362,1381093,1617878,1692567,1783716,1953704
Church Av,44,4982615,5603898,5482093,5707573,5438775,5455527
Beverley Rd,45,950243,737652,838970,899663,953903,1038252
Cortelyou Rd,46,1992781,1700177,1806758,1961144,1978254,2028859
Newkirk Plaza,47,3021079,3380559,3302958,3432907,3315748,3356199
Avenue H,48,823237,875106,896279,899662,952855,1006747
Avenue J,49,1807574,1867576,1850087,1848674,1867727,1912497
Avenue M,50,1608901,1730576,1731955,1733583,1776762,1828941
Kings Hwy,51,5453084,5697467,5693562,5905481,6014920,6040256
Avenue U,52,2071874,2176073,2175035,2231577,2332985,2360833
Neck Rd,53,1148708,1218313,1232947,1305776,1336596,1379473
Sheepshead Bay,54,4148629,4205275,4201776,4296566,4322837,4297325
Brighton Beach,55,3781554,3810743,3872092,4014831,4044514,3957811
Ocean Pkwy,56,983972,990091,969271,1022215,1016458,1022378
West 8 St-New York Aquarium,57,767921,702810,741345,789416,795636,789104
Coney Island-Stillwell Av,58,4733106,4690794,4980140,5132083,5025598,4803755
9 Av,59,1668767,1896942,1938987,1843944,1858368,1737192
Fort Hamilton Pkwy,60,1025285,1240644,1317172,1297755,1349733,1273516
50 St,61,941157,1021409,1009971,968612,1012356,986060
55 St,62,546080,601931,603320,595157,665488,632198
71 St,64,1191257,1446020,1481633,1487929,2029479,1854361
79 St,65,1651785,1949861,2041896,2043471,2137349,2032937
18 Av,66,1661770,1954729,1996205,1925239,2003777,1948610
20 Av,67,1377648,1547029,1564060,1592525,1656437,1579804
Bay Pkwy,68,2038864,2298420,2362284,2368617,2578524,2502105
25 Av,69,1206526,1421090,1488192,1508412,1992945,1789365
Bay 50 St,70,777836,847843,884302,872953,972937,900508
8 Av,71,3559576,3677764,3851372,3796909,4586559,4088721
Fort Hamilton Pkwy,72,2105486,2200487,2278120,2164028,554051,988664
18 Av,74,1819255,1641928,1775695,1784992,723187,992834
20 Av,75,1245145,1286961,1305487,1279525,409416,664120
Bay Pkwy,76,2221968,2243082,2342792,2298369,3435240,2950253
Kings Hwy,77,1616827,1630749,1687226,1710115,475763,910558
Avenue U,78,1297870,1211062,1251276,1253349,456533,734714
